food_code,food_name,category,kcal_100g,protein_100g,carbs_100g,fat_100g,sugars_100g,fiber_100g
10041,"Abalone or ormer or sea ear, raw","meat, egg and fish",99.6,14.4,8.69,0.83,0.0,0.0
12112,"Abondance cheese, from cow's milk",milk and milk products,393.0,27.1,0.0,31.6,0.2,0.083
2040,"Acerola juice, fresh",beverages,22.9,0.4,4.5,0.3,4.5,0.3
13055,"Acerola, flesh and skin, pitted, raw","fruits, vegetables, legumes and nuts",0.0,0.4,6.59,0.3,0.0,1.1
13404,"Acerola, flesh and skin, pitted, raw, sampled in the island of La Martinique","fruits, vegetables, legumes and nuts",0.0,0.56,0.0,0.097,0.0,0.0
31089,Agave syrup,sugar and confectionery,0.0,0.25,78.0,0.5,68.0,0.0
11168,"Aioli sauce (garlic and olive oil mayonnaise), prepacked",miscellaneous,480.0,1.13,5.44,50.2,2.61,0.25
26006,"Alaska pollock, raw","meat, egg and fish",72.6,16.3,0.51,0.61,0.0,0.17
26152,"Alaska pollock, smoked","meat, egg and fish",81.3,18.3,0.0,0.9,0.0,0.0
26179,"Albacore, in olive oil, canned, drained","meat, egg and fish",192.0,31.3,1.01,6.95,0.0,0.0
26076,"Albacore, raw","meat, egg and fish",121.0,27.2,0.0,1.37,0.0,0.0
26077,"Albacore, steamed under pressure","meat, egg and fish",165.0,30.0,0.0,5.06,0.0,0.0
15029,"Alfalfa seeds, sprouted","fruits, vegetables, legumes and nuts",29.2,3.38,0.81,0.69,0.2,1.9
15032,"Alfalfa, seeds","fruits, vegetables, legumes and nuts",426.0,29.7,39.3,12.6,0.0,7.9
11240,"Algerian style sauce, prepacked",miscellaneous,486.0,1.76,14.0,46.8,10.6,0.9
24664,"Almond cake, financier, prepacked",sugar and confectionery,447.0,8.26,44.3,25.7,34.6,2.3
18107,"Almond drink, plain, no added sugars, not fortified, prepacked",beverages,35.8,1.06,0.68,3.2,0.0,0.5
18111,"Almond drink, prepacked (average)",beverages,35.8,1.06,0.68,3.2,0.0,0.5
18110,"Almond drink, with sugar(s), fortified with calcium, prepacked",beverages,43.9,0.69,3.96,2.8,3.44,0.5
17030,Almond oil,fats and oils,900.0,0.0,0.0,100.0,0.0,0.0
15042,"Almond, grilled, salted","fruits, vegetables, legumes and nuts",647.0,20.0,12.2,53.9,3.94,8.46
15062,"Almond, grilled, salted, smoked","fruits, vegetables, legumes and nuts",629.0,18.6,9.01,54.0,4.56,8.25
15041,"Almond, peeled, no added salt","fruits, vegetables, legumes and nuts",631.0,21.4,8.76,52.5,4.63,9.9
15000,"Almond, with peel, no added salt","fruits, vegetables, legumes and nuts",615.0,18.8,9.51,51.3,4.2,12.5
18306,"Aloe vera beverage, with sugar(s)",beverages,32.9,0.094,8.11,0.0,6.4,0.069
